Accident Type Desc,ACCIDENTDATE,ACCIDENTTIME,Day Week Description,DAY_OF_WEEK,DCA Description,DCA_CODE,Deg Urban Name,DIRECTORY,GRID_REFERENCE_X,LGA_NAME,Light Condition Desc,NODE_ID,NODE_ID (NODE.csv),NODE_TYPE,PAGE,Postcode No,Region Name,Road Geometry Desc,ACCIDENT_NO,ACCIDENT_NO (NODE.csv),ACCIDENT_TYPE,AMG_X,AMG_Y,EDITION,GRID_REFERENCE_Y,Lat,LIGHT_CONDITION,Long,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE
Collision with vehicle,1/01/2005,15.30.00,Saturday,7,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES)        ,133,Country,VCS,G,MACEDON RANGES,Day,194558,194558,N,632,3444,NORTHERN REGION,Not at intersection,32005001244,32005001244,1,2453187.127,2472249.065,9,5,-37.24892,1,144.47228,2,7,0,1,0,6,1,5,3,110
Collision with vehicle,1/01/2005,21.30.00,Saturday,7,RIGHT THROUGH                        ,121,Country,VCS,C,CAMPASPE,Dark No street lights,54356,54356,N,32,3620,NORTHERN REGION,T intersection,32005001549,32005001549,1,2507181.575,2588846.757,9,5,-36.19924,5,145.07986,2,3,1,2,0,0,1,2,2,100
Collision with vehicle,1/01/2005,14.10.00,Saturday,7,RIGHT REAR.                         ,132,Other Towns,MEL,C,MACEDON RANGES,Day,194635,194635,N,678,3437,NORTHERN REGION,Not at intersection,32005001550,32005001550,1,2463910.838,2446337.841,40,2,-37.48289,1,144.59191,2,3,0,3,0,0,1,5,3,70
Struck Pedestrian,1/01/2005,00.55.00,Saturday,7,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,100,Metropolitan Excluding CBD,MEL,J,HUME,Dark Street lights on,194550,194550,N,5,3049,METROPOLITAN NORTH WEST REGION,Not at intersection,32005002085,32005002085,2,2489675.599,2423986.667,40,9,-37.68493,3,144.88294,1,4,1,0,0,3,1,5,2,70
Collision with vehicle,1/01/2005,12.00.00,Saturday,7,LANE CHANGE LEFT (NOT OVERTAKING)              ,135,Metropolitan Excluding CBD,MEL,G,MORELAND,Day,194987,194987,N,16,3046,METROPOLITAN NORTH WEST REGION,Not at intersection,32005004286,32005004286,1,2492725.21,2420723.425,40,5,-37.71437,1,144.91749,2,3,1,0,0,2,1,5,2,60
Collision with a fixed object,1/01/2005,12.40.00,Saturday,7,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE          ,183,Country,VCS,G,MURRINDINDI,Day,194557,194557,N,418,3717,NORTH EASTERN REGION,Not at intersection,42005001300,42005001300,4,2525508.312,2462628.409,9,6,-37.33644,1,145.28789,1,2,2,0,0,0,1,5,2,100
Collision with a fixed object,1/01/2005,22.50.00,Saturday,7,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE          ,181,Country,MEL,C,YARRA RANGES,Dark No street lights,194546,194546,N,109,3804,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005001320,42005001320,4,2529870.97,2392993.439,40,1,-37.96376,5,145.33993,1,2,0,1,0,1,1,5,3,100
Struck Pedestrian,1/01/2005,01.30.00,Saturday,7,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,102,Country,VCS,G,ALPINE,Dark No street lights,194561,194561,N,49,3740,NORTH EASTERN REGION,Not at intersection,42005001336,42005001336,2,2670336.46,2532635.767,9,5,-36.6905,5,146.90633,1,3,1,0,0,2,2,5,2,80
Struck Pedestrian,1/01/2005,01.30.00,Saturday,7,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,102,Small Towns,VCS,G,ALPINE,Dark No street lights,194561,194561,N,49,3740,NORTH EASTERN REGION,Not at intersection,42005001336,42005001336,2,2670336.46,2532635.767,9,5,-36.6905,5,146.90633,1,3,1,0,0,2,2,5,2,80
Collision with vehicle,1/01/2005,23.00.00,Saturday,7,REAR END(VEHICLES IN SAME LANE)               ,130,Metropolitan Excluding CBD,MEL,B,MONASH,Dark Street lights off,194544,194544,N,70,3149,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005001350,42005001350,1,2510018.127,2401405.905,40,4,-37.88839,4,145.11389,2,3,0,1,0,2,2,5,3,100
Collision with vehicle,1/01/2005,10.20.00,Saturday,7,RIGHT NEAR (INTERSECTIONS ONLY)               ,113,Metropolitan Excluding CBD,MEL,B,MONASH,Day,69146,69146,I,70,3166,METROPOLITAN SOUTH EAST REGION,T intersection,42005001853,42005001853,1,2510181.29,2399351.611,40,9,-37.9069,1,145.11577,2,4,2,0,1,1,1,2,1,80
Collision with vehicle,1/01/2005,11.00.00,Saturday,7,RIGHT NEAR (INTERSECTIONS ONLY)               ,113,Metropolitan Excluding CBD,MEL,F,KNOX,Day,53412,53412,I,73,3156,METROPOLITAN SOUTH EAST REGION,Cross intersection,42005001895,42005001895,1,2523597.458,2402370.035,40,2,-37.87946,1,145.26824,2,2,1,0,0,1,2,1,2,80
Collision with vehicle,1/01/2005,16.50.00,Saturday,7,REAR END(VEHICLES IN SAME LANE)               ,130,Metropolitan Excluding CBD,MEL,F,KNOX,Day,194484,194484,N,64,3155,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005001914,42005001914,1,2523381.325,2404189.357,40,9,-37.86307,1,145.26572,3,5,1,0,0,4,1,5,2,60
Collision with vehicle,1/01/2005,17.35.00,Saturday,7,RIGHT NEAR (INTERSECTIONS ONLY)               ,113,Metropolitan Excluding CBD,MEL,K,KNOX,Day,41009,41009,I,64,3155,METROPOLITAN SOUTH EAST REGION,Cross intersection,42005002226,42005002226,1,2524817.05,2403767.484,40,10,-37.86684,1,145.28205,2,4,0,4,0,0,1,1,3,50
No collision and no object struck,1/01/2005,14.10.00,Saturday,7,OFF CARRIAGEWAY ON LEFT BEND                ,182,Country,VCS,B,MANSFIELD,Day,24975,24975,N,63,3722,NORTH EASTERN REGION,Not at intersection,42005002256,42005002256,8,2589723.953,2491316.685,9,3,-37.07397,1,146.00915,1,2,2,0,0,0,2,5,2,100
collision with some other object,1/01/2005,02.00.00,Saturday,7,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,173,Country,MEL,D,YARRA RANGES,Dark No street lights,194683,194683,N,84,3804,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005002487,42005002487,5,2530630.821,2394012.523,40,10,-37.95455,5,145.34853,1,1,0,1,0,0,2,5,3,80
Collision with a fixed object,1/01/2005,15.30.00,Saturday,7,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE          ,181,Country,MEL,K,YARRA RANGES,Day,195457,195457,N,308,3139,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005007154,42005007154,4,2548471.502,2403866.457,40,10,-37.86501,1,145.55088,1,1,0,1,0,0,2,5,3,60
Collision with vehicle,1/01/2005,00.45.00,Saturday,7,REAR END(VEHICLES IN SAME LANE)               ,130,Metropolitan Excluding CBD,MEL,K,HOBSONS BAY,Dark Street lights on,39995,39995,I,55,3015,METROPOLITAN NORTH WEST REGION,T intersection,22005001627,22005001627,1,2490054.859,2406273.39,40,4,-37.84454,3,144.887,2,3,0,2,0,1,2,2,3,50
Collision with vehicle,1/01/2005,03.00.00,Saturday,7,REAR END(VEHICLES IN SAME LANE)               ,130,Metropolitan Excluding CBD,MEL,F,MELBOURNE,Dark Street lights on,194958,194958,N,2T,3031,METROPOLITAN NORTH WEST REGION,Not at intersection,22005003468,22005003468,1,2493135.788,2412357.076,40,2,-37.78975,3,144.92207,4,11,0,3,0,8,1,5,3,60
Collision with a fixed object,1/01/2005,04.00.00,Saturday,7,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Metropolitan Excluding CBD,MEL,F,BRIMBANK,Dark Street lights on,195055,195055,N,14,3021,METROPOLITAN NORTH WEST REGION,Not at intersection,22005005984,22005005984,4,2484585.647,2417714.934,40,12,-37.74137,3,144.8251,1,1,0,0,1,0,1,5,1,70
Collision with vehicle,1/01/2005,12.00.00,Saturday,7,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD    ,160,Metropolitan Excluding CBD,MEL,D,YARRA,Day,36565,36565,I,2C,3066,METROPOLITAN NORTH WEST REGION,T intersection,12005001187,12005001187,1,2498565.821,2410979.379,40,9,-37.80219,1,144.98371,2,3,0,2,0,1,1,2,3,50
Collision with a fixed object,1/01/2005,02.01.00,Saturday,7,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,173,Metropolitan Excluding CBD,MEL,E,KINGSTON,Dark Street lights on,134,134,I,87,3195,METROPOLITAN SOUTH EAST REGION,T intersection,12005001743,12005001743,4,2507530.465,2388370.248,40,12,-38.00586,3,145.08574,2,4,0,2,0,2,1,2,3,60
Struck Pedestrian,1/01/2005,02.05.00,Saturday,7,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE  ,101,Metropolitan Excluding CBD,MEL,A,YARRA,Dark Street lights unknown,36458,36458,I,2C,3065,METROPOLITAN NORTH WEST REGION,T intersection,12005002148,12005002148,2,2497883.652,2411436.443,40,7,-37.79807,6,144.97597,1,2,0,1,0,1,1,2,3,40
Collision with vehicle,1/01/2005,22.00.00,Saturday,7,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,110,Metropolitan Excluding CBD,MEL,H,PORT PHILLIP,Dark Street lights on,370,370,I,2K,3205,METROPOLITAN NORTH WEST REGION,Cross intersection,12005002197,12005002197,1,2497459.004,2407330.159,40,3,-37.83507,3,144.97113,2,8,0,1,0,7,1,1,3,70
Collision with vehicle,1/01/2005,01.55.00,Saturday,7,OTHER ON PATH                        ,169,Metropolitan Excluding CBD,MEL,E,STONNINGTON,Dark Street lights on,196136,196136,N,59,3144,METROPOLITAN SOUTH EAST REGION,Not at intersection,12005011865,12005011865,1,2503405.539,2405045.701,40,7,-37.85565,3,145.0387,2,2,1,0,0,1,1,5,2,50
